OA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00016115,326,1,2,2,3,4,3,0,4,9,4,8,2,6,4,7,7,6,2,1,5,9,4,3,1,5,5,2,3,3,3,3,3,2,3,3,3,4,4,4,3,6,3,7,2,3,5,2,5,6,2,5,7,5,9,3,4,9,6,6,1,6,10,3,2,5,5,4,4,0,2,2,4,7,5,2,4,3,1,1,1,4,0,0,0,0,1,1,1,0,1,1
E00016136,314,4,3,1,5,5,5,2,5,4,4,6,6,8,9,7,6,4,3,2,5,1,3,5,3,5,2,3,3,2,1,2,4,1,2,3,10,5,6,4,6,6,5,7,2,7,5,5,4,3,3,2,6,4,11,5,4,4,5,2,6,3,5,2,1,3,5,5,1,2,1,2,2,2,2,3,0,3,0,0,0,0,0,0,1,3,0,1,0,0,4,2
E00016137,404,4,8,4,9,5,9,15,6,11,8,6,6,9,8,13,8,7,3,6,4,5,6,4,5,7,3,4,4,3,3,4,6,4,4,5,6,6,4,2,6,6,7,5,6,7,3,3,4,8,8,8,4,7,6,5,5,8,1,6,5,2,5,7,4,1,2,3,1,2,2,1,1,1,2,0,2,2,2,3,2,1,1,0,1,0,3,0,0,1,0,0
E00016138,295,2,7,4,6,6,7,3,6,2,7,7,4,4,5,5,6,4,4,6,4,3,3,4,4,2,3,2,1,2,2,3,4,5,7,8,4,5,6,2,3,8,5,1,4,6,5,5,5,3,1,5,5,2,5,4,3,5,7,4,5,3,3,2,1,0,2,2,2,1,2,1,4,1,1,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,1,3
E00016139,352,5,7,1,9,2,9,7,5,11,8,3,8,10,8,4,7,5,7,5,4,4,4,1,5,5,4,4,4,2,3,4,2,5,5,4,4,6,6,2,5,7,6,5,8,4,2,3,3,6,3,8,7,5,5,9,2,1,8,4,4,7,4,3,4,2,6,1,0,2,1,0,1,2,3,5,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0
E00016116,389,6,5,10,4,5,6,5,2,8,5,6,9,6,7,10,2,4,6,9,4,1,2,1,1,3,10,3,0,1,3,6,2,4,5,10,6,8,11,7,6,10,11,11,10,12,8,6,7,9,11,8,11,6,2,6,3,4,5,2,4,1,3,1,1,1,2,1,3,0,0,0,0,5,1,2,0,3,1,0,1,0,2,3,2,0,0,0,0,0,0,1
E00016129,359,2,8,5,12,6,4,6,5,8,8,11,6,9,6,5,5,7,4,3,1,4,3,2,3,3,4,4,4,4,3,2,13,15,11,9,6,7,5,6,11,8,7,6,7,12,7,6,5,4,7,1,1,3,1,3,6,2,5,4,2,5,1,0,0,1,3,1,0,0,0,1,0,1,2,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
E00016142,716,13,10,18,14,5,13,20,21,8,18,13,16,13,16,3,5,8,10,6,10,9,4,5,8,5,10,9,9,14,7,11,24,19,16,22,15,12,9,10,8,14,13,8,13,10,12,9,7,6,8,8,10,8,6,8,7,6,9,10,6,3,5,4,7,3,3,0,1,0,1,1,2,5,2,4,6,4,2,3,4,1,3,0,2,0,0,1,1,0,1,3
E00016144,346,10,9,8,6,10,9,11,6,6,8,8,4,8,4,5,4,1,1,2,5,3,3,3,2,4,5,3,4,3,7,9,5,8,6,8,7,3,4,2,5,5,9,5,4,5,4,4,5,4,4,3,6,3,4,4,5,3,4,5,1,4,5,4,4,1,1,5,0,1,5,1,3,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
E00016145,263,4,5,1,4,6,8,5,2,6,3,7,6,6,4,6,6,3,3,1,2,2,1,4,2,1,5,2,3,3,3,3,4,7,3,6,4,2,2,1,6,4,4,1,4,5,8,7,4,2,5,7,1,5,5,5,6,8,4,1,2,1,4,1,3,1,1,3,0,2,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
E00016150,345,11,8,7,4,7,9,6,9,8,6,4,5,13,10,4,2,6,5,5,3,2,4,4,4,2,2,3,5,8,1,7,3,3,5,4,2,6,5,5,9,1,2,3,5,6,8,10,6,4,6,7,6,7,2,1,3,3,3,9,8,4,4,4,1,2,1,0,2,1,0,0,0,2,1,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,1
E00016117,311,8,11,5,6,5,11,4,8,7,6,2,3,6,3,5,1,1,4,4,3,0,0,2,4,1,4,5,5,1,1,0,8,7,10,8,5,10,5,4,7,6,3,7,5,5,1,4,5,4,4,4,6,2,0,0,4,4,0,4,6,3,3,2,2,2,0,1,1,1,2,2,0,2,1,3,4,0,3,0,2,2,3,2,1,1,1,2,0,0,1,0
E00016132,324,3,3,10,9,7,11,3,9,6,9,3,4,2,2,5,2,4,4,2,3,2,2,1,4,2,3,2,8,1,3,5,6,9,7,7,7,6,7,10,6,8,5,2,3,3,3,4,8,3,7,2,2,4,3,5,7,8,6,2,3,4,3,2,2,1,3,2,0,0,1,2,3,2,2,1,2,0,1,0,2,0,1,0,0,0,0,0,1,0,1,1
E00016143,386,1,3,4,3,3,6,3,8,6,15,1,4,6,3,7,7,3,1,8,2,4,4,7,8,6,3,9,10,5,6,7,9,5,6,4,7,3,8,4,6,9,4,4,7,3,7,3,6,3,5,7,6,5,6,4,5,11,7,3,5,6,3,5,3,2,2,0,4,1,1,3,4,4,1,2,2,0,7,3,0,2,0,0,0,0,2,2,1,0,0,1
E00016147,322,4,1,6,6,6,5,2,6,18,4,4,3,5,3,2,1,1,1,2,1,2,3,2,2,2,4,3,3,4,8,5,6,4,4,4,6,9,7,6,4,5,2,4,4,7,5,7,4,3,7,3,7,5,1,2,13,7,6,8,5,0,3,7,3,2,1,3,3,2,1,3,1,0,2,0,4,2,0,0,0,0,1,1,1,1,2,2,0,0,1,2
E00016153,290,2,5,3,2,6,6,4,6,7,6,1,0,2,6,2,4,1,3,4,1,3,1,5,1,1,2,3,5,3,3,4,2,6,6,5,3,6,1,7,5,3,5,1,0,4,4,3,5,3,2,4,3,3,2,4,7,6,6,9,4,3,6,7,5,6,2,5,2,7,2,6,0,1,1,2,3,2,2,0,3,1,0,0,0,0,1,0,0,0,0,2
E00016141,289,3,4,4,5,6,1,2,0,9,7,3,7,5,6,5,3,4,4,1,4,3,4,5,3,3,6,6,4,4,3,6,2,3,5,3,5,4,4,0,5,3,5,6,2,1,2,5,3,6,10,3,6,4,4,3,2,4,1,4,5,2,5,1,2,1,3,3,3,0,2,3,4,0,0,4,0,1,2,1,1,4,3,1,0,0,1,1,0,0,0,1
E00016146,343,8,4,7,4,6,5,6,0,3,7,6,7,4,5,6,3,8,3,1,4,3,4,3,3,2,5,2,6,8,6,5,6,5,2,5,5,5,7,6,6,4,9,9,10,9,4,7,7,6,3,5,8,5,4,5,8,5,3,3,1,1,4,1,1,2,0,1,2,3,1,1,2,4,1,0,1,2,0,1,0,3,1,1,0,0,1,0,0,1,1,1
E00016148,299,4,6,6,4,6,0,5,6,3,8,4,5,5,7,3,4,3,4,3,4,2,1,5,3,2,2,3,6,3,6,2,7,2,3,5,4,3,4,3,7,8,3,4,9,3,3,4,3,1,3,3,7,4,4,5,5,5,4,2,1,5,3,2,3,2,0,6,1,2,6,8,0,3,2,0,2,0,1,1,0,0,3,1,0,0,0,0,0,0,0,4
E00016149,276,4,4,6,6,5,5,4,4,3,6,4,2,3,5,4,3,2,3,2,0,1,2,0,6,4,3,4,6,2,4,3,6,2,9,10,8,5,4,4,3,1,6,5,4,0,3,6,3,4,4,6,4,7,5,5,2,1,5,3,1,1,4,5,1,4,2,4,3,1,2,4,0,4,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
E00016151,289,3,4,5,2,2,4,5,7,9,6,6,4,5,2,4,4,5,2,4,1,3,4,1,3,1,2,3,7,2,5,2,6,5,5,1,7,8,3,5,4,5,6,7,6,4,3,4,2,6,7,5,4,3,4,1,3,8,4,4,2,4,0,4,2,3,3,0,2,1,2,1,3,1,1,0,0,0,0,0,0,3,1,3,2,4,0,0,0,0,0,0
E00016152,244,3,2,2,3,6,8,3,3,5,3,1,3,4,2,1,3,0,5,3,0,1,3,2,5,1,2,3,4,3,7,1,4,7,5,2,6,4,3,5,4,4,4,4,2,5,3,1,4,1,5,5,5,4,7,3,4,3,3,5,4,4,2,1,4,2,0,1,3,2,1,3,1,2,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2
E00016126,335,3,5,3,5,4,2,4,4,6,2,3,4,7,0,6,5,5,1,8,4,0,6,1,3,3,3,1,5,2,3,4,8,2,3,7,2,2,4,5,3,9,6,7,5,3,2,4,4,9,3,3,6,6,4,9,4,2,8,4,2,2,6,0,6,4,5,4,2,1,5,4,5,10,4,6,3,1,4,0,1,0,5,2,1,0,1,1,1,1,0,2
E00016127,424,7,6,3,4,4,12,3,6,3,7,2,3,6,5,6,5,5,11,2,4,4,7,4,5,3,6,3,10,4,3,6,2,4,5,6,8,4,6,7,9,3,7,9,7,8,5,4,4,7,7,7,9,10,8,13,5,4,5,5,1,5,4,3,3,7,4,3,3,4,3,3,2,5,6,5,6,1,4,3,2,2,2,1,0,0,1,2,1,0,0,1
E00016131,349,5,11,13,2,5,2,8,4,11,3,7,8,6,2,5,3,2,5,4,4,4,2,2,4,2,4,5,2,11,5,5,5,5,6,6,7,7,2,8,9,11,4,6,6,6,4,3,5,6,0,3,11,4,4,1,4,6,5,6,1,5,1,2,1,0,2,2,1,2,0,2,0,2,3,2,1,0,2,2,4,4,1,0,0,0,0,0,0,0,0,3
E00016134,275,4,1,4,2,4,1,4,4,2,6,4,5,0,5,1,4,1,6,2,1,3,1,3,2,3,4,1,2,3,6,3,3,6,5,3,3,2,3,5,3,4,6,4,3,3,4,5,5,2,4,6,5,5,4,3,3,1,2,6,1,5,4,1,4,3,2,1,6,2,4,3,7,3,9,4,3,1,2,2,0,0,2,2,2,0,0,0,0,0,0,2
E00016140,323,3,5,3,4,7,2,11,6,6,4,5,2,4,4,6,4,5,2,2,3,4,2,0,4,3,6,4,6,8,4,4,5,7,9,9,7,4,8,2,5,11,3,7,4,6,5,6,4,4,5,5,3,2,4,7,3,5,4,1,2,3,0,4,2,3,1,3,0,3,1,5,4,7,2,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0
